epoch,loss,accuracy,val_loss,val_accuracy
1,1.6488407850265503,0.5843809247016907,1.1704375743865967,0.7324444651603699
2,1.1924800872802734,0.7211428284645081,1.0537571907043457,0.7680000066757202
3,1.0800104141235352,0.7676190733909607,1.0191274881362915,0.7777777910232544
4,1.0059932470321655,0.7878095507621765,1.0108355283737183,0.7902222275733948
5,0.9540042877197266,0.8070476055145264,0.984704852104187,0.8008888959884644
6,0.9051916003227234,0.828000009059906,0.9837725758552551,0.7995555400848389
7,0.8769733309745789,0.8384761810302734,0.967176079750061,0.8071110844612122
8,0.8478021025657654,0.8473333120346069,0.9780845046043396,0.8057777881622314
9,0.8173945546150208,0.8619047403335571,0.9830975532531738,0.7964444160461426
10,0.7440651059150696,0.8882856965065002,0.9348698854446411,0.8182222247123718
11,1.1226979494094849,0.7457143068313599,2.0303313732147217,0.5497778058052063
12,0.881780207157135,0.8312380909919739,1.7221782207489014,0.6435555815696716
13,0.7718355059623718,0.8714285492897034,1.3992469310760498,0.6871111392974854
14,0.7032428979873657,0.8959047794342041,1.0706825256347656,0.7919999957084656
15,0.6581412553787231,0.9150476455688477,1.0321018695831299,0.8031111359596252
16,0.633342981338501,0.9228571653366089,1.0455429553985596,0.788444459438324
17,0.6045132279396057,0.9307619333267212,0.9611221551895142,0.8191111087799072
18,0.5883984565734863,0.938095211982727,0.9495177865028381,0.8217777609825134
19,0.570301353931427,0.9418095350265503,0.9945641160011292,0.804444432258606
20,0.5744931101799011,0.9419047832489014,1.0518323183059692,0.7951111197471619
