TIPO DE MATERIAL,MATERIAL ,NOMENCLATURA,COMPOSICION,VOLUMEN MATERIAL,REUTILIZABLE,MASA MATERIAL,CONSISTENCIA,PORCENTAJE DE COMPOSICION,,,,
Foam packaging,Zotek F30,,Zotek F30,100,Sí,100,Polímero de celda cerrada (Espuma),100,Empaques y aislamiento de carga útil,,,
EVA Waste,Cargo Transfer Bags,CTB,Nomex,100,Sí,100,Polímero textil avanzado,92,Zonas de actividad extravehicular,,,
EVA Waste,Cargo Transfer Bags,CTB,Nylon,100,Sí,100,Polímero textil avanzado,3,Zonas de actividad extravehicular,,, |
EVA Waste,Cargo Transfer Bags,CTB,Poliester,100,Sí,100,Polímero textil avanzado,2,Zonas de actividad extravehicular,,,
Fabrics,Clothing,,Cotton,59,Sí,77,Polímero textil o Celulósico,56,Zonas de Aterrizaje,,,
Fabrics,Clothing,,Nylon,59,Sí,77,Polímero textil o Celulósico,6,Zonas de Aterrizaje,,,
Fabrics,Clothing,,Polyester,59,Sí,77,Polímero textil o Celulósico,38,Zonas de Aterrizaje,,,
Fabrics,Towels/Wash Cloths,,Cotton,39,Sí,21,Polímero textil o Celulósico,100,Zonas de Aterrizaje,,,
Fabrics,Cleaning Wip es,,Cotton,2,Sí,2,Polímero textil o Celulósico,100,Zonas de Aterrizaje,,,
Food Packaging,Overwrap,,Polyester,29,No,29,Polímero/Metálico compuesto,13,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Overwrap,,Polyethylene,29,No,29,Polímero/Metálico compuesto,15,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Overwrap,,Aluminum,29,No,29,Polímero/Metálico compuesto,30,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Rehydratable Pouch,,Nylon,40,No,39,Polímero/Metálico compuesto,41,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Rehydratable Pouch,,Polyethylene,40,No,39,Polímero/Metálico compuesto,33,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Rehydratable Pouch,,EVOH,40,No,39,Polímero/Metálico compuesto,11,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Drink Pouch,,Aluminum,8,No,8,Polímero/Metálico compuesto,24,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Drink Pouch,,Polyethylene,8,No,8,Polímero/Metálico compuesto,65,Módulos de Aterrizaje/Rovers,,,
Food Packaging,Drink Pouch,,Polyethylene Terephthalate,8,No,8,Polímero/Metálico compuesto,11,Módulos de Aterrizaje/Rovers,,,
Structural Elements,Aluminum Structure/ Struts,,Aluminum,90,Sí,90,Metal (Aluminio) o Compuesto de matriz polimérica,90,Estructuras de Descenso,,,
Structural Elements,Polymer Matrix Composites,,Thermoset,10,Sí,10,Metal (Aluminio) o Compuesto de matriz polimérica,40,Estructuras de Descenso,,,
Structural Elements,Polymer Matrix Composites,,Carbon Fiber,10,Sí,10,Metal (Aluminio) o Compuesto de matriz polimérica,60,Estructuras de Descenso,,,
Other Packaging/Gloves,Air cushion,,Polyethylene,2,Sí,4,Polímero (Caucho sintético/Film),100,Basura dispersa cerca de los sitios de aterrizaje,,,
Other Packaging/Gloves,Bubble wrap filler,,Polyethylene,2,Sí,1,Polímero (Caucho sintético/Film),100,Basura dispersa cerca de los sitios de aterrizaje,,,
Other Packaging/Gloves,Reclosable bags,,Polyethylene,2,Sí,9,Polímero (Caucho sintético/Film),100,Basura dispersa cerca de los sitios de aterrizaje,,,
Other Packaging/Gloves,Anti-Static Bubble Wrap Bags,,Polyethylene,2,Sí,9,Polímero (Caucho sintético/Film),100,Basura dispersa cerca de los sitios de aterrizaje,,,
Other Packaging/Gloves,Plastazote,,Polyethylene,68,Sí,36,Polímero (Caucho sintético/Film),100,Basura dispersa cerca de los sitios de aterrizaje,,,
Other Packaging/Gloves,Nitrile gloves,,Nitrile,22,Sí,41,Polímero (Caucho sintético/Film),100,Basura dispersa cerca de los sitios de aterrizaje,,,
